YEAR,ROUND,REGION,T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1HW,T1HL,T1AW,T1AL,T1BPI,T1SOS,T1SOR,T1REC,T1HREC,T1AREC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2HW,T2HL,T2AW,T2AL,T2BPI,T2SOS,T2SOR,T2REC,T2HREC,T2AREC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF,WINNER
2008,1.0,2.0,2439,8,71,UNLV Rebels,70.4,34.8,15.1,8.0,3.1,10.8,42.4,74.3,33.5,27,8,14,2,6,5,48,105,32,0.771,0.875,0.545,2309,9,58,Kent State Golden Flashes,69.2,33.3,14.0,8.5,3.9,14.6,46.7,71.4,36.9,28,7,15,0,8,5,59,143,34,0.8,1.0,0.615,-1,-11,-38,-2,0
2008,1.0,3.0,235,1,87,Memphis Tigers,79.7,40.8,16.0,8.7,6.1,12.2,46.6,59.6,35.0,38,2,17,1,9,0,3,76,3,0.95,0.944,1.0,250,16,63,UT Arlington Mavericks,73.7,38.1,14.1,6.7,2.6,17.2,47.8,65.8,34.9,21,12,14,3,4,8,189,278,158,0.636,0.824,0.333,-15,-186,-202,-155,0
2008,1.0,3.0,251,2,74,Texas Longhorns,75.6,37.8,12.9,6.2,5.2,9.4,45.3,68.9,38.5,31,7,17,1,6,4,17,25,7,0.816,0.944,0.6,2046,15,54,Austin Peay Governors,74.6,31.5,14.4,9.7,2.2,12.7,45.1,71.5,38.6,24,11,12,1,8,8,148,269,135,0.686,0.923,0.5,-13,-131,-244,-128,0
2008,1.0,3.0,24,3,77,Stanford Cardinal,70.7,38.8,14.2,4.4,5.2,12.3,44.9,69.6,36.0,28,8,13,1,7,5,16,24,10,0.778,0.929,0.583,172,14,53,Cornell Big Red,77.1,33.9,15.6,6.0,3.1,13.7,49.2,76.3,41.4,22,6,12,1,10,4,107,241,65,0.786,0.923,0.714,-11,-91,-217,-55,0
2008,1.0,3.0,221,4,82,Pittsburgh Panthers,74.1,37.8,15.9,6.8,3.3,12.2,45.9,65.8,34.0,27,10,14,2,5,7,19,12,11,0.73,0.875,0.417,198,13,63,Oral Roberts Golden Eagles,69.3,35.9,13.6,6.3,4.0,13.2,44.4,67.0,36.8,24,9,12,1,8,5,84,159,66,0.727,0.923,0.615,-9,-65,-147,-55,0
2008,1.0,3.0,127,5,72,Michigan State Spartans,71.3,37.2,17.6,6.1,4.4,13.7,48.0,73.1,37.3,27,9,15,0,4,6,18,33,15,0.75,1.0,0.4,218,12,61,Temple Owls,72.6,32.7,15.1,6.3,4.4,12.8,47.2,74.1,37.2,21,13,10,4,7,5,66,82,62,0.618,0.714,0.583,-7,-48,-49,-47,0
2008,1.0,3.0,269,6,74,Marquette Golden Eagles,75.8,36.6,14.8,9.6,3.8,13.2,44.7,70.2,35.3,25,10,15,2,6,5,15,26,16,0.714,0.882,0.545,96,11,66,Kentucky Wildcats,68.6,33.7,12.7,6.7,4.8,15.9,46.9,73.4,36.8,18,13,13,3,4,6,62,39,53,0.581,0.812,0.4,-5,-47,-13,-37,0
2008,1.0,3.0,2390,7,78,Miami Hurricanes,74.8,38.0,13.3,6.1,4.7,13.4,43.8,74.1,38.4,23,11,14,2,4,6,31,34,29,0.676,0.875,0.4,2608,10,64,Saint Mary's Gaels,76.2,38.3,14.7,7.5,5.3,13.8,46.1,67.0,36.0,25,7,12,1,6,4,47,150,45,0.781,0.923,0.6,-3,-16,-116,-16,0
2008,1.0,3.0,344,8,76,Mississippi State Bulldogs,73.1,40.9,13.2,6.0,7.9,15.3,46.1,64.4,33.4,23,11,13,3,7,3,28,69,39,0.676,0.812,0.7,2483,9,69,Oregon Ducks,76.8,34.1,14.9,4.6,2.5,12.6,48.5,68.9,40.1,18,14,9,3,5,7,34,5,47,0.562,0.75,0.417,-1,-6,64,-8,0
2008,1.0,4.0,26,1,70,UCLA Bruins,74.1,36.1,14.5,7.4,3.7,12.4,47.8,73.1,34.5,35,4,14,1,9,1,4,28,4,0.897,0.933,0.9,2400,16,29,Mississippi Valley State Delta Devils,62.7,33.5,11.6,6.2,2.7,14.4,40.6,68.1,34.6,17,16,8,4,6,7,328,239,261,0.515,0.667,0.462,-15,-324,-211,-257,0
