Year,Round,Region Number,Region Name,Seed,Score,Team1,Team2,Score,Seed,team1id,team2id
2014,1,4,Midwest,7,87,Texas,Arizona St,85,10,251,9
2014,1,4,Midwest,8,56,Kentucky,Kansas St,49,9,96,2306
2014,2,1,South,1,61,Florida,Pittsburgh,45,9,57,221
2014,2,1,South,2,57,Kansas,Stanford,60,10,2305,24
2014,2,1,South,3,53,Syracuse,Dayton,55,11,183,2168
2014,2,1,South,4,77,UCLA,Stephen F Austin,60,12,26,2617
2014,2,2,East,1,78,Virginia,Memphis,60,8,258,235
2014,2,2,East,2,65,Villanova,Connecticut,77,7,222,41
2014,2,2,East,3,85,Iowa St,North Carolina,83,6,66,153
2014,2,2,East,4,80,Michigan St,Harvard,73,12,127,108
2014,2,3,West,1,84,Arizona,Gonzaga,81,8,12,2250
2014,2,3,West,2,85,Wisconsin,Oregon,77,7,275,2483
2014,2,3,West,3,55,Creighton,Baylor,85,6,156,239
2014,2,3,West,4,63,San Diego St,North Dakota St,44,12,21,2449
2014,2,4,Midwest,1,76,Wichita St,Kentucky,78,8,2724,96
2014,2,4,Midwest,2,79,Michigan,Texas,65,7,130,251
2014,2,4,Midwest,14,63,Mercer,Tennessee,83,11,2382,2633
2014,2,4,Midwest,4,66,Louisville,St Louis,51,5,97,139
2014,3,1,South,1,79,Florida,UCLA,68,4,57,26
2014,3,1,South,10,72,Stanford,Dayton,82,11,24,2168
2014,3,2,East,1,59,Virginia,Michigan St,61,4,258,127
2014,3,2,East,7,81,Connecticut,Iowa St,76,3,41,66
2014,3,3,West,1,70,Arizona,San Diego St,64,4,12,21
2014,3,3,West,2,69,Wisconsin,Baylor,52,6,275,239
2014,3,4,Midwest,8,74,Kentucky,Louisville,69,4,96,97
2014,3,4,Midwest,2,73,Michigan,Tennessee,71,11,130,2633
2014,4,1,South,1,62,Florida,Dayton,52,11,57,2168
2014,4,2,East,4,54,Michigan St,Connecticut,60,7,127,41
2014,4,3,West,1,63,Arizona,Wisconsin,64,2,12,275
2014,4,4,Midwest,8,75,Kentucky,Michigan,72,2,96,130
2014,5,1,Final Four,1,53,Florida,Connecticut,63,7,57,41
2014,5,2,Final Four,2,73,Wisconsin,Kentucky,74,8,275,96
2014,6,1,Championship,7,60,Connecticut,Kentucky,54,8,41,96
2015,1,1,Midwest,1,79,Kentucky,Hampton,56,16,96,2261
2015,1,1,Midwest,2,75,Kansas,New Mexico St,56,15,2305,166
2015,1,1,Midwest,3,69,Notre Dame,Northeastern,65,14,87,111
2015,1,1,Midwest,4,65,Maryland,Valparaiso,62,13,120,2674
2015,1,1,Midwest,5,68,West Virginia,Buffalo,62,12,277,2084
2015,1,1,Midwest,6,56,Butler,Texas,48,11,2086,251
2015,1,1,Midwest,7,81,Wichita St,Indiana,76,10,2724,84
2015,1,1,Midwest,8,66,Cincinnati,Purdue,65,9,2132,2509
2015,1,2,West,1,86,Wisconsin,Coastal Carolina,72,16,275,324
2015,1,2,West,2,93,Arizona,Texas Southern,72,15,12,2640
2015,1,2,West,3,56,Baylor,Georgia St,57,14,239,2247
2015,1,2,West,4,67,North Carolina,Harvard,65,13,153,108
2015,1,2,West,5,56,Arkansas,Wofford,53,12,8,2747
2015,1,2,West,6,76,Xavier,Ole Miss,57,11,2752,145
2015,1,2,West,7,72,VCU,Ohio St,75,10,2670,194
2015,1,2,West,8,79,Oregon,Oklahoma St,73,9,2483,197
2015,1,3,East,1,93,Villanova,Lafayette,52,16,222,322
2015,1,3,East,2,79,Virginia,Belmont,67,15,258,2057
2015,1,3,East,3,69,Oklahoma,Albany,60,14,201,399
2015,1,3,East,4,57,Louisville,Cal Irvine,55,13,97,300
2015,1,3,East,5,71,Northern Iowa,Wyoming,54,12,2460,2751
2015,1,3,East,6,53,Providence,Dayton,66,11,2507,2168
2015,1,3,East,7,70,Michigan St,Georgia,63,10,127,61
2015,1,3,East,8,66,NC State,LSU,65,9,152,99
2015,1,4,South,1,85,Duke,Robert Morris,56,16,150,2523
2015,1,4,South,2,86,Gonzaga,North Dakota St,76,15,2250,2449
2015,1,4,South,3,59,Iowa St,UAB,60,14,66,5
2015,1,4,South,4,84,Georgetown,Eastern Washington,74,13,46,331
2015,1,4,South,5,57,Utah,Stephen F Austin,50,12,251,2617
2015,1,4,South,6,59,SMU,UCLA,60,11,2567,26
2015,1,4,South,7,83,Iowa,Davidson,52,10,2294,2166
2015,1,4,South,8,76,San Diego St,St Johns,64,9,21,2599
2015,2,1,Midwest,1,64,Kentucky,Cincinnati,51,8,96,2132
2015,2,1,Midwest,2,65,Kansas,Wichita St,78,7,2305,2724
2015,2,1,Midwest,3,67,Notre Dame,Butler,64,6,87,2086
2015,2,1,Midwest,4,59,Maryland,West Virginia,69,5,120,277
2015,2,2,West,1,72,Wisconsin,Oregon,65,8,275,2483
2015,2,2,West,2,73,Arizona,Ohio St,58,10,12,194
2015,2,2,West,14,67,Georgia St,Xavier,75,6,2247,2752
2015,2,2,West,4,87,North Carolina,Arkansas,78,5,153,8
2015,2,3,East,1,68,Villanova,NC State,71,8,222,152
2015,2,3,East,2,54,Virginia,Michigan St,60,7,258,127
2015,2,3,East,3,72,Oklahoma,Dayton,66,11,201,2168
2015,2,3,East,4,66,Louisville,Northern Iowa,53,5,97,2460
2015,2,4,South,1,68,Duke,San Diego St,49,8,150,21
2015,2,4,South,2,87,Gonzaga,Iowa,68,7,2250,2294
2015,2,4,South,14,75,UAB,UCLA,92,11,5,26
2015,2,4,South,4,64,Georgetown,Utah,75,5,46,251
2015,3,1,Midwest,1,78,Kentucky,West Virginia,39,5,96,277
2015,3,1,Midwest,7,70,Wichita St,Notre Dame,81,3,2724,87
2015,3,2,West,1,79,Wisconsin,North Carolina,72,4,275,153
2015,3,2,West,2,68,Arizona,Xavier,60,6,12,2752
2015,3,3,East,8,65,NC State,Louisville,75,4,152,97
2015,3,3,East,7,62,Michigan St,Oklahoma,58,3,127,201
2015,3,4,South,1,63,Duke,Utah,57,5,150,251
2015,3,4,South,2,74,Gonzaga,UCLA,62,11,2250,26
2015,4,1,Midwest,1,68,Kentucky,Notre Dame,66,3,96,87
2015,4,2,West,1,85,Wisconsin,Arizona,78,2,275,12
2015,4,3,East,4,70,Louisville,Michigan St,76,7,97,127
2015,4,4,South,1,66,Duke,Gonzaga,52,2,150,2250
2015,5,1,Final Four,1,64,Kentucky,Wisconsin,71,1,96,275
2015,5,2,Final Four,7,61,Michigan St,Duke,81,1,127,150
2015,6,1,Championship,1,63,Wisconsin,Duke,68,1,275,150
2016,1,1,South,1,105,Kansas,Austin Peay,79,16,2305,2046
2016,1,1,South,2,86,Villanova,UNC Asheville,56,15,222,2427
2016,1,1,South,3,79,Miami,Buffalo,72,14,2390,2084
2016,1,1,South,4,66,California,Hawaii,77,13,25,62
2016,1,1,South,5,79,Maryland,South Dakota St,74,12,120,2571
2016,1,1,South,6,55,Arizona,Wichita St,65,11,12,2724
2016,1,1,South,7,72,Iowa,Temple,70,10,2294,218
2016,1,1,South,8,67,Colorado,Connecticut,74,9,38,41
2016,1,2,West,1,91,Oregon,Holy Cross,52,16,2483,107
2016,1,2,West,2,82,Oklahoma,Cal St Bakersfield,68,15,201,2934
2016,1,2,West,3,92,Texas A&M,Wisconsin Green Bay,65,14,245,2739
2016,1,2,West,4,93,Duke,UNC Wilmington,85,13,150,350
2016,1,2,West,5,75,Baylor,Yale,79,12,239,43
2016,1,2,West,6,72,Texas,Northern Iowa,75,11,251,2460
2016,1,2,West,7,67,Oregon St,VCU,75,10,204,2670
2016,1,2,West,8,78,St Josephs,Cincinnati,76,9,2603,2132
2016,1,3,East,1,83,North Carolina,Florida Gulf Coast,67,16,153,526
2016,1,3,East,2,71,Xavier,Weber St,53,15,2752,2692
2016,1,3,East,3,56,West Virginia,Stephen F Austin,70,14,277,2617
2016,1,3,East,4,85,Kentucky,Stony Brook,57,13,96,2619
2016,1,3,East,5,99,Indiana,Chattanooga,74,12,84,236
2016,1,3,East,6,70,Notre Dame,Michigan,63,11,87,130
2016,1,3,East,7,47,Wisconsin,Pittsburgh,43,10,275,221
2016,1,3,East,8,69,USC,Providence,70,9,30,2507
2016,1,4,Midwest,1,81,Virginia,Hampton,45,16,258,2261
2016,1,4,Midwest,2,81,Michigan St,Middle Tennessee St,90,15,127,2393
2016,1,4,Midwest,3,80,Utah,Fresno St,69,14,251,278
2016,1,4,Midwest,4,94,Iowa St,Iona,81,13,66,314
2016,1,4,Midwest,5,83,Purdue,Arkansas Little Rock,85,12,2509,2031
2016,1,4,Midwest,6,52,Seton Hall,Gonzaga,68,11,2550,2250
2016,1,4,Midwest,7,51,Dayton,Syracuse,70,10,2168,183
2016,1,4,Midwest,8,61,Texas Tech,Butler,71,9,2641,2086
2016,2,1,South,1,73,Kansas,Connecticut,61,9,2305,41
2016,2,1,South,2,87,Villanova,Iowa,68,7,222,2294
2016,2,1,South,3,65,Miami,Wichita St,57,11,2390,2724
2016,2,1,South,13,60,Hawaii,Maryland,73,5,62,120
2016,2,2,West,1,69,Oregon,St Josephs,64,8,2483,2603
2016,2,2,West,2,85,Oklahoma,VCU,81,10,201,2670
2016,2,2,West,3,92,Texas A&M,Northern Iowa,88,11,245,2460
2016,2,2,West,4,71,Duke,Yale,64,12,150,43
2016,2,3,East,1,85,North Carolina,Providence,66,9,153,2507
2016,2,3,East,2,63,Xavier,Wisconsin,66,7,2752,275
2016,2,3,East,14,75,Stephen F Austin,Notre Dame,76,6,2617,87
2016,2,3,East,4,67,Kentucky,Indiana,73,5,96,84
2016,2,4,Midwest,1,77,Virginia,Butler,69,9,258,2086
2016,2,4,Midwest,15,50,Middle Tennessee St,Syracuse,75,10,2393,183
2016,2,4,Midwest,3,59,Utah,Gonzaga,82,11,251,2250
2016,2,4,Midwest,4,78,Iowa St,Arkansas Little Rock,61,12,66,2031
2016,3,1,South,1,79,Kansas,Maryland,63,5,2305,120
2016,3,1,South,2,92,Villanova,Miami,69,3,222,2390
2016,3,2,West,1,82,Oregon,Duke,68,4,2483,150
2016,3,2,West,2,77,Oklahoma,Texas A&M,63,3,201,245
2016,3,3,East,1,101,North Carolina,Indiana,86,5,153,84
2016,3,3,East,7,56,Wisconsin,Notre Dame,61,6,275,87
2016,3,4,Midwest,1,84,Virginia,Iowa St,71,4,258,66
2016,3,4,Midwest,10,63,Syracuse,Gonzaga,60,11,183,2250
2016,4,1,South,1,59,Kansas,Villanova,64,2,2305,222
2016,4,2,West,1,68,Oregon,Oklahoma,80,2,2483,201
2016,4,3,East,1,88,North Carolina,Notre Dame,74,6,153,87
2016,4,4,Midwest,1,62,Virginia,Syracuse,68,10,258,183
2016,5,1,Final Four,2,95,Villanova,Oklahoma,51,2,222,201
2016,5,2,Final Four,1,83,North Carolina,Syracuse,66,10,153,183
2016,6,1,Championship,2,77,Villanova,North Carolina,74,1,222,153
2017,1,1,East,1,76,Villanova,Mount St Marys,56,16,222,116
2017,1,1,East,2,87,Duke,Troy,65,15,150,2653
2017,1,1,East,3,91,Baylor,New Mexico St,73,14,239,166
2017,1,1,East,4,80,Florida,East Tennessee St,65,13,57,2193
2017,1,1,East,5,76,Virginia,UNC Wilmington,71,12,258,350
2017,1,1,East,6,65,SMU,USC,66,11,2567,30
2017,1,1,East,7,93,South Carolina,Marquette,73,10,2579,269
2017,1,1,East,8,84,Wisconsin,Virginia Tech,74,9,275,259
2017,1,2,West,1,66,Gonzaga,South Dakota St,46,16,2250,2571
2017,1,2,West,2,100,Arizona,North Dakota,82,15,12,155
2017,1,2,West,3,86,Florida St,Florida Gulf Coast,80,14,52,526
2017,1,2,West,4,86,West Virginia,Bucknell,80,13,277,2083
2017,1,2,West,5,60,Notre Dame,Princeton,58,12,87,163
2017,1,2,West,6,65,Maryland,Xavier,76,11,120,2752
2017,1,2,West,7,85,St Marys,VCU,77,10,116,2670
2017,1,2,West,8,68,Northwestern,Vanderbilt,66,9,77,238
2017,1,3,Midwest,1,100,Kansas,UC Davis,62,16,2305,302
2017,1,3,Midwest,2,78,Louisville,Jacksonville St,63,15,97,55
2017,1,3,Midwest,3,93,Oregon,Iona,77,14,2483,314
2017,1,3,Midwest,4,80,Purdue,Vermont,70,13,2509,261
2017,1,3,Midwest,5,84,Iowa St,Nevada,73,12,66,2440
2017,1,3,Midwest,6,72,Creighton,Rhode Island,84,11,156,227
2017,1,3,Midwest,7,92,Michigan,Oklahoma St,91,10,130,197
2017,1,3,Midwest,8,58,Miami,Michigan St,78,9,2390,127
2017,1,4,South,1,103,North Carolina,Texas Southern,64,16,153,2640
2017,1,4,South,2,79,Kentucky,Northern Kentucky,70,15,96,94
2017,1,4,South,3,97,UCLA,Kent St,80,14,26,2309
2017,1,4,South,4,76,Butler,Winthrop,64,13,2086,2737
2017,1,4,South,5,72,Minnesota,Middle Tennessee St,81,12,135,2393
2017,1,4,South,6,75,Cincinnati,Kansas St,61,11,2132,2306
2017,1,4,South,7,58,Dayton,Wichita St,64,10,2168,2724
2017,1,4,South,8,77,Arkansas,Seton Hall,71,9,8,2550
2017,2,1,East,1,62,Villanova,Wisconsin,65,8,222,275
2017,2,1,East,2,81,Duke,South Carolina,88,7,150,2579
2017,2,1,East,3,82,Baylor,USC,78,11,239,30
2017,2,1,East,4,65,Florida,Virginia,39,5,57,258
2017,2,2,West,1,79,Gonzaga,Northwestern,73,8,2250,77
2017,2,2,West,2,69,Arizona,St Marys,60,7,12,116
2017,2,2,West,3,66,Florida St,Xavier,91,11,52,2752
2017,2,2,West,4,83,West Virginia,Notre Dame,71,5,277,87
2017,2,3,Midwest,1,90,Kansas,Michigan St,70,9,2305,127
2017,2,3,Midwest,2,69,Louisville,Michigan,73,7,97,130
2017,2,3,Midwest,3,75,Oregon,Rhode Island,72,11,2483,227
2017,2,3,Midwest,4,80,Purdue,Iowa St,76,5,2509,66
2017,2,4,South,1,72,North Carolina,Arkansas,65,8,153,8
2017,2,4,South,2,65,Kentucky,Wichita St,62,10,96,2724
2017,2,4,South,3,79,UCLA,Cincinnati,67,6,26,2132
2017,2,4,South,4,74,Butler,Middle Tennessee St,65,12,2086,2393
2017,3,1,East,8,83,Wisconsin,Florida,84,4,275,57
2017,3,1,East,7,70,South Carolina,Baylor,50,3,2579,239
2017,3,2,West,1,61,Gonzaga,West Virginia,58,4,2250,277
2017,3,2,West,2,71,Arizona,Xavier,73,11,12,2752
2017,3,3,Midwest,1,98,Kansas,Purdue,66,4,2305,2509
2017,3,3,Midwest,7,68,Michigan,Oregon,69,3,130,2483
2017,3,4,South,1,92,North Carolina,Butler,80,4,153,2086
2017,3,4,South,2,86,Kentucky,UCLA,75,3,96,26
2017,4,1,East,4,70,Florida,South Carolina,77,7,57,2579
2017,4,2,West,1,83,Gonzaga,Xavier,59,11,2250,2752
2017,4,3,Midwest,1,60,Kansas,Oregon,74,3,2305,2483
2017,4,4,South,1,75,North Carolina,Kentucky,73,2,153,96
2017,5,1,Final Four,7,73,South Carolina,Gonzaga,77,1,2579,2250
2017,5,2,Final Four,3,76,Oregon,North Carolina,77,1,2483,153
2017,6,1,Championship,1,65,Gonzaga,North Carolina,71,1,2250,153
2018,1,1,South,1,54,Virginia,UMBC,74,16,258,2378
2018,1,1,South,2,68,Cincinnati,Georgia St,53,15,2132,2247
2018,1,1,South,3,73,Tennessee,Wright St,47,14,2633,2750
2018,1,1,South,4,68,Arizona,Buffalo,89,13,12,2084
2018,1,1,South,5,78,Kentucky,Davidson,73,12,96,2166
2018,1,1,South,6,62,Miami,Loyola Chicago,64,11,2390,2350
2018,1,1,South,7,87,Nevada,Texas,83,10,2440,251
2018,1,1,South,8,59,Creighton,Kansas St,69,9,156,2306
2018,1,2,West,1,102,Xavier,Texas Southern,83,16,2752,2640
2018,1,2,West,2,84,North Carolina,Lipscomb,66,15,153,288
2018,1,2,West,3,61,Michigan,Montana,47,14,130,149
2018,1,2,West,4,68,Gonzaga,UNC Greensboro,64,13,2250,2430
2018,1,2,West,5,81,Ohio St,South Dakota St,73,12,194,2571
2018,1,2,West,6,67,Houston,San Diego St,65,11,248,21
2018,1,2,West,7,73,Texas A&M,Providence,69,10,245,2507
2018,1,2,West,8,54,Missouri,Florida St,67,9,142,52
2018,1,3,East,1,87,Villanova,Radford,61,16,222,2515
2018,1,3,East,2,74,Purdue,Cal St Fullerton,48,15,2509,2239
2018,1,3,East,3,70,Texas Tech,Stephen F Austin,60,14,2641,2617
2018,1,3,East,4,75,Wichita St,Marshall,81,13,2724,276
2018,1,3,East,5,85,West Virginia,Murray St,68,12,277,93
2018,1,3,East,6,77,Florida,St Bonaventure,62,11,57,179
2018,1,3,East,7,62,Arkansas,Butler,79,10,8,2086
2018,1,3,East,8,83,Virginia Tech,Alabama,86,9,259,333
2018,1,4,Midwest,1,76,Kansas,Pennsylvania,60,16,2305,219
2018,1,4,Midwest,2,89,Duke,Iona,67,15,150,314
2018,1,4,Midwest,3,82,Michigan St,Bucknell,78,14,127,2083
2018,1,4,Midwest,4,62,Auburn,College of Charleston,58,13,2,232
2018,1,4,Midwest,5,79,Clemson,New Mexico St,68,12,228,166
2018,1,4,Midwest,6,52,TCU,Syracuse,57,11,2628,183
2018,1,4,Midwest,7,83,Rhode Island,Oklahoma,78,10,227,201
2018,1,4,Midwest,8,94,Seton Hall,NC State,83,9,2550,152
2018,2,1,South,16,43,UMBC,Kansas St,50,9,2378,2306
2018,2,1,South,2,73,Cincinnati,Nevada,75,7,2132,2440
2018,2,1,South,3,62,Tennessee,Loyola Chicago,63,11,2633,2350
2018,2,1,South,13,75,Buffalo,Kentucky,95,5,2084,96
2018,2,2,West,1,70,Xavier,Florida St,75,9,2752,52
2018,2,2,West,2,65,North Carolina,Texas A&M,86,7,153,245
2018,2,2,West,3,64,Michigan,Houston,63,6,130,248
2018,2,2,West,4,90,Gonzaga,Ohio St,84,5,2250,194
2018,2,3,East,1,81,Villanova,Alabama,58,9,222,333
2018,2,3,East,2,76,Purdue,Butler,73,10,2509,2086
2018,2,3,East,3,69,Texas Tech,Florida,66,6,2641,57
2018,2,3,East,13,71,Marshall,West Virginia,94,5,276,277
2018,2,4,Midwest,1,83,Kansas,Seton Hall,79,8,2305,2550
2018,2,4,Midwest,2,87,Duke,Rhode Island,62,7,150,227
2018,2,4,Midwest,3,53,Michigan St,Syracuse,55,11,127,183
2018,2,4,Midwest,4,53,Auburn,Clemson,84,5,2,228
2018,3,1,South,9,61,Kansas St,Kentucky,58,5,2306,96
2018,3,1,South,7,68,Nevada,Loyola Chicago,69,11,2440,2350
2018,3,2,West,9,75,Florida St,Gonzaga,60,4,52,2250
2018,3,2,West,7,72,Texas A&M,Michigan,99,3,245,130
2018,3,3,East,1,90,Villanova,West Virginia,78,5,222,277
2018,3,3,East,2,65,Purdue,Texas Tech,78,3,2509,2641
2018,3,4,Midwest,1,80,Kansas,Clemson,76,5,2305,228
2018,3,4,Midwest,2,69,Duke,Syracuse,65,11,150,183
2018,4,1,South,9,62,Kansas St,Loyola Chicago,78,11,2306,2350
2018,4,2,West,9,54,Florida St,Michigan,58,3,52,130
2018,4,3,East,1,71,Villanova,Texas Tech,59,3,222,2641
2018,4,4,Midwest,1,85,Kansas,Duke,81,2,2305,150
2018,5,1,Final Four,11,57,Loyola Chicago,Michigan,69,3,2350,130
2018,5,2,Final Four,1,95,Villanova,Kansas,79,1,222,2305
2018,6,1,Championship,3,62,Michigan,Villanova,79,1,130,222
2019,1,1,East,1,85,Duke,North Dakota St,62,16,150,2449
2019,1,1,East,2,76,Michigan St,Bradley,65,15,127,71
2019,1,1,East,3,79,LSU,Yale,74,14,99,43
2019,1,1,East,4,66,Virginia Tech,St Louis,52,13,259,139
2019,1,1,East,5,76,Mississippi St,Liberty,80,12,344,2335
2019,1,1,East,6,79,Maryland,Belmont,77,11,120,2057
2019,1,1,East,7,76,Louisville,Minnesota,86,10,97,135
2019,1,1,East,8,58,VCU,Central Florida,73,9,2670,2116
2019,1,2,West,1,87,Gonzaga,Fairleigh Dickinson,49,16,2250,161
2019,1,2,West,2,74,Michigan,Montana,55,15,130,149
2019,1,2,West,3,72,Texas Tech,Northern Kentucky,57,14,2641,94
2019,1,2,West,4,76,Florida St,Vermont,69,13,52,261
2019,1,2,West,5,64,Marquette,Murray St,83,12,269,93
2019,1,2,West,6,91,Buffalo,Arizona St,74,11,2084,9
2019,1,2,West,7,61,Nevada,Florida,70,10,2440,57
2019,1,2,West,8,69,Syracuse,Baylor,78,9,183,239
2019,1,3,South,1,71,Virginia,Gardner Webb,56,16,258,2241
2019,1,3,South,2,77,Tennessee,Colgate,70,15,2633,2142
2019,1,3,South,3,61,Purdue,Old Dominion,48,14,2509,295
2019,1,3,South,4,64,Kansas St,UC Irvine,70,13,2306,300
2019,1,3,South,5,54,Wisconsin,Oregon,72,12,275,2483
2019,1,3,South,6,61,Villanova,St Marys,57,11,222,116
2019,1,3,South,7,72,Cincinnati,Iowa,79,10,2132,2294
2019,1,3,South,8,72,Ole Miss,Oklahoma,95,9,145,201
2019,1,4,Midwest,1,88,North Carolina,Iona,73,16,153,314
2019,1,4,Midwest,2,79,Kentucky,Abilene Christian,44,15,96,2000
2019,1,4,Midwest,3,84,Houston,Georgia St,55,14,248,2247
2019,1,4,Midwest,4,87,Kansas,Northeastern,53,13,2305,111
2019,1,4,Midwest,5,78,Auburn,New Mexico St,77,12,2,166
2019,1,4,Midwest,6,59,Iowa St,Ohio St,62,11,66,194
2019,1,4,Midwest,7,84,Wofford,Seton Hall,68,10,2747,2550
2019,1,4,Midwest,8,61,Utah St,Washington,78,9,328,264
2019,2,1,South,1,77,Duke,Central Florida,76,9,150,2116
2019,2,1,South,2,70,Michigan St,Minnesota,50,10,127,135
2019,2,1,South,3,69,LSU,Maryland,67,6,99,120
2019,2,1,South,4,67,Virginia Tech,Liberty,58,12,259,2335
2019,2,2,West,1,83,Gonzaga,Baylor,71,9,2250,239
2019,2,2,West,2,64,Michigan,Florida,49,10,130,57
2019,2,2,West,3,78,Texas Tech,Buffalo,58,6,2641,2084
2019,2,2,West,4,90,Florida St,Murray St,62,12,52,93
2019,2,3,East,1,63,Virginia,Oklahoma,51,9,258,201
2019,2,3,East,2,83,Tennessee,Iowa,77,10,2633,2294
2019,2,3,East,3,87,Purdue,Villanova,61,6,2509,222
2019,2,3,East,13,54,UC Irvine,Oregon,73,12,300,2483
2019,2,4,Midwest,1,81,North Carolina,Washington,59,9,153,264
2019,2,4,Midwest,2,62,Kentucky,Wofford,56,7,96,2747
2019,2,4,Midwest,3,74,Houston,Ohio St,59,11,248,194
2019,2,4,Midwest,4,75,Kansas,Auburn,89,5,2305,2
2019,3,1,South,1,75,Duke,Virginia Tech,73,4,150,259
2019,3,1,South,2,80,Michigan St,LSU,63,3,127,99
2019,3,2,West,1,72,Gonzaga,Florida St,58,4,2250,52
2019,3,2,West,2,44,Michigan,Texas Tech,63,3,130,2641
2019,3,3,East,1,53,Virginia,Oregon,49,12,258,2483
2019,3,3,East,2,94,Tennessee,Purdue,99,3,2633,2509
2019,3,4,Midwest,1,80,North Carolina,Auburn,97,5,153,2
2019,3,4,Midwest,2,62,Kentucky,Houston,58,3,96,248
2019,4,1,South,1,67,Duke,Michigan St,68,2,150,127
2019,4,2,West,1,69,Gonzaga,Texas Tech,75,3,2250,2641
2019,4,3,East,1,80,Virginia,Purdue,75,3,258,2509
2019,4,4,Midwest,5,77,Auburn,Kentucky,71,2,2,96
2019,5,1,Final Four,2,51,Michigan St,Texas Tech,61,3,127,2641
2019,5,2,Final Four,1,63,Virginia,Auburn,62,5,258,2
2019,6,1,Championship,3,77,Texas Tech,Virginia,85,1,2641,258
2021,,,,16,60,Texas Southern,Mount St. Mary's,52,16,2640,116
2021,,,,11,53,Drake,Wichita State,52,11,2181,2724
2021,,,,16,53,Appalachian State,Norfolk State,54,16,2026,2450
2021,,,,11,86,UCLA,Michigan State,80,11,26,127
2021,,,,16,49,Drexel,Illinois,78,1,2182,356
2021,,,,16,55,Hartford,Baylor,79,1,42,239
2021,,,,15,56,Cleveland State,Houston,87,2,325,248
2021,,,,15,75,Oral Roberts,Ohio State,72,2,198,194
2021,,,,14,68,Colgate,Arkansas,85,3,2142,8
2021,,,,13,60,Liberty,Oklahoma State,69,4,2335,197
2021,,,,14,67,Morehead State,West Virginia,84,3,2413,277
2021,,,,11,78,Syracuse,San Diego State,62,6,183,21
2021,,,,9,60,Georgia Tech,Loyola Chicago,71,8,59,2350
2021,,,,12,63,Winthrop,Villanova,73,5,2737,222
2021,,,,13,78,North Texas,Purdue,69,4,249,2509
2021,,,,11,53,Utah State,Texas Tech,65,6,328,2641
2021,,,,10,70,Virginia Tech,Florida,75,7,259,57
2021,,,,12,70,Oregon State,Tennessee,56,5,204,2633
2021,,,,9,85,Wisconsin,North Carolina,62,8,275,153
2021,,,,10,60,Rutgers,Clemson,56,7,164,228
2021,,,,16,55,Norfolk State,Gonzaga,98,1,2450,2250
2021,,,,16,66,Texas Southern,Michigan,82,1,2640,130
2021,,,,15,55,Iona,Alabama,68,2,314,333
2021,,,,15,74,Grand Canyon,Iowa,86,2,2253,2294
2021,,,,14,53,Abilene Christian,Texas,52,3,2000,251
2021,,,,14,84,Eastern Washington,Kansas,93,3,331,2305
2021,,,,13,54,UNC Greensboro,Florida State,64,4,2430,52
2021,,,,13,62,Ohio,Virginia,58,4,195,258
2021,,,,12,62,UC Santa Barbara,Creighton,63,5,2540,156
2021,,,,12,73,Georgetown,Colorado,96,5,46,38
2021,,,,11,56,Drake,USC,72,6,2181,30
2021,,,,11,73,UCLA,BYU,62,6,26,252
2021,,,,9,61,St. Bonaventure,LSU,76,8,179,99
2021,,,,10,63,Maryland,UConn,54,7,120,41
2021,,,,9,68,Missouri,Oklahoma,72,8,142,201
2021,,,,10,0,VCU,Oregon,0,7,2670,2483
2021,,,,8,71,Loyola Chicago,Illinois,58,1,2350,356
2021,,,,9,63,Wisconsin,Baylor,76,1,275,239
2021,,,,10,60,Rutgers,Houston,63,2,164,248
2021,,,,6,66,Texas Tech,Arkansas,68,3,2641,8
2021,,,,12,80,Oregon State,Oklahoma State,70,4,204,197
2021,,,,11,75,Syracuse,West Virginia,72,3,183,277
2021,,,,13,61,North Texas,Villanova,84,5,249,222
2021,,,,15,81,Oral Roberts,Florida,78,7,198,57
2021,,,,8,71,Oklahoma,Gonzaga,87,1,201,2250
2021,,,,8,78,LSU,Michigan,86,1,99,130
2021,,,,10,77,Maryland,Alabama,96,2,120,333
2021,,,,7,95,Oregon,Iowa,80,2,2483,2294
2021,,,,6,85,USC,Kansas,51,3,30,2305
2021,,,,5,53,Colorado,Florida State,71,4,38,52
2021,,,,13,58,Ohio,Creighton,72,5,195,156
2021,,,,14,47,Abilene Christian,UCLA,67,11,2000,26
2021,,,,5,51,Villanova,Baylor,62,1,222,239
2021,,,,11,46,Syracuse,Houston,62,2,183,248
2021,,,,15,70,Oral Roberts,Arkansas,72,3,198,8
2021,,,,12,65,Oregon State,Loyola Chicago,58,8,204,2350
2021,,,,5,65,Creighton,Gonzaga,83,1,156,2250
2021,,,,4,58,Florida State,Michigan,76,1,52,130
2021,,,,11,88,UCLA,Alabama,78,2,26,333
2021,,,,7,68,Oregon,USC,82,6,2483,30
2021,,,,3,72,Arkansas,Baylor,81,1,8,239
2021,,,,12,61,Oregon State,Houston,67,2,204,248
2021,,,,6,66,USC,Gonzaga,85,1,30,2250
2021,,,,11,51,UCLA,Michigan,49,1,26,130
2021,,,,11,90,UCLA,Gonzaga,93,1,26,2250
2021,,,,2,59,Houston,Baylor,78,1,248,239
2021,,,,1,86,Baylor,Gonzaga,70,1,239,2250
