Year,Round,Region Number,Region Name,Seed,Score,Team1,Team2,Score,Seed,team1id,team2id
2009,1,4,South,7,59,Clemson,Michigan,62,10,228,130
2009,1,4,South,8,75,LSU,Butler,71,9,99,2086
2009,2,1,Midwest,1,79,Louisville,Siena,72,9,97,2561
2009,2,1,Midwest,2,74,Michigan St,USC,69,10,127,30
2009,2,1,Midwest,3,60,Kansas,Dayton,43,11,2305,2168
2009,2,1,Midwest,13,57,Cleveland St,Arizona,71,12,325,12
2009,2,2,West,1,92,Connecticut,Texas A&M,66,9,41,245
2009,2,2,West,2,89,Memphis,Maryland,70,10,235,120
2009,2,2,West,3,83,Missouri,Marquette,79,6,142,269
2009,2,2,West,4,74,Washington,Purdue,76,5,264,2509
2009,2,3,East,1,84,Pittsburgh,Oklahoma St,76,8,221,197
2009,2,3,East,2,74,Duke,Texas,69,7,150,251
2009,2,3,East,3,89,Villanova,UCLA,69,6,222,26
2009,2,3,East,4,60,Xavier,Wisconsin,49,12,2752,275
2009,2,4,South,1,84,North Carolina,LSU,70,8,153,99
2009,2,4,South,2,73,Oklahoma,Michigan,63,10,201,130
2009,2,4,South,3,78,Syracuse,Arizona St,67,6,183,9
2009,2,4,South,4,83,Gonzaga,Western Kentucky,81,12,2250,98
2009,3,1,Midwest,1,103,Louisville,Arizona,64,12,97,12
2009,3,1,Midwest,2,67,Michigan St,Kansas,62,3,127,2305
2009,3,2,West,1,72,Connecticut,Purdue,60,5,41,2509
2009,3,2,West,2,91,Memphis,Missouri,102,3,235,142
2009,3,3,East,1,60,Pittsburgh,Xavier,55,4,221,2752
2009,3,3,East,2,54,Duke,Villanova,77,3,150,222
2009,3,4,South,1,98,North Carolina,Gonzaga,77,4,153,2250
2009,3,4,South,2,84,Oklahoma,Syracuse,71,3,201,183
2009,4,1,Midwest,1,52,Louisville,Michigan St,64,2,97,127
2009,4,2,West,1,82,Connecticut,Missouri,75,3,41,142
2009,4,3,East,1,76,Pittsburgh,Villanova,78,3,221,222
2009,4,4,South,1,72,North Carolina,Oklahoma,60,2,153,201
2009,5,1,Final Four,2,82,Michigan St,Connecticut,73,1,127,41
2009,5,2,Final Four,3,69,Villanova,North Carolina,83,1,222,153
2009,6,1,Championship,2,72,Michigan St,North Carolina,89,1,127,153
2010,1,1,Midwest,1,90,Kansas,Lehigh,74,16,2305,2329
2010,1,1,Midwest,2,68,Ohio St,Santa Barbara,51,15,194,2540
2010,1,1,Midwest,3,83,Georgetown,Ohio,97,14,46,195
2010,1,1,Midwest,4,89,Maryland,Houston,77,13,120,248
2010,1,1,Midwest,5,70,Michigan St,New Mexico St,67,12,127,166
2010,1,1,Midwest,6,62,Tennessee,San Diego St,59,11,2633,21
2010,1,1,Midwest,7,59,Oklahoma St,Georgia Tech,64,10,197,59
2010,1,1,Midwest,8,66,UNLV,Northern Iowa,69,9,2439,2460
2010,1,2,West,1,79,Syracuse,Vermont,56,16,183,261
2010,1,2,West,2,82,Kansas St,North Texas,62,15,2306,249
2010,1,2,West,3,89,Pittsburgh,Oakland,66,14,221,2473
2010,1,2,West,4,65,Vanderbilt,Murray St,66,13,238,93
2010,1,2,West,5,77,Butler,UTEP,59,12,2086,2638
2010,1,2,West,6,65,Xavier,Minnesota,54,11,2752,135
2010,1,2,West,7,99,BYU,Florida,92,10,252,57
2010,1,2,West,8,67,Gonzaga,Florida St,60,9,2250,52
2010,1,3,East,1,100,Kentucky,East Tennessee St,71,16,96,2193
2010,1,3,East,2,77,West Virginia,Morgan St,50,15,277,2415
2010,1,3,East,3,62,New Mexico,Montana,57,14,167,149
2010,1,3,East,4,53,Wisconsin,Wofford,49,13,275,2747
2010,1,3,East,5,65,Temple,Cornell,78,12,218,172
2010,1,3,East,6,78,Marquette,Washington,80,11,269,264
2010,1,3,East,7,78,Clemson,Missouri,86,10,228,142
2010,1,3,East,8,80,Texas,Wake Forest,81,9,251,154
2010,1,4,South,1,73,Duke,Arkansas Pine Bluff,44,16,150,2029
2010,1,4,South,2,73,Villanova,Robert Morris,70,15,222,2523
2010,1,4,South,3,68,Baylor,Sam Houston St,59,14,239,2534
2010,1,4,South,4,72,Purdue,Siena,64,13,2509,2561
2010,1,4,South,5,69,Texas A&M,Utah St,53,12,245,328
2010,1,4,South,6,50,Notre Dame,Old Dominion,51,11,87,295
2010,1,4,South,7,71,Richmond,St Marys,80,10,257,116
2010,1,4,South,8,77,California,Louisville,62,9,25,97
2010,2,1,Midwest,1,67,Kansas,Northern Iowa,69,9,2305,2460
2010,2,1,Midwest,2,75,Ohio St,Georgia Tech,66,10,194,59
2010,2,1,Midwest,14,68,Ohio,Tennessee,83,6,195,2633
2010,2,1,Midwest,4,83,Maryland,Michigan St,85,5,120,127
2010,2,2,West,1,87,Syracuse,Gonzaga,65,8,183,2250
2010,2,2,West,2,84,Kansas St,BYU,72,7,2306,252
2010,2,2,West,3,68,Pittsburgh,Xavier,71,6,221,2752
2010,2,2,West,13,52,Murray St,Butler,54,5,93,2086
2010,2,3,East,1,90,Kentucky,Wake Forest,60,9,96,154
2010,2,3,East,2,68,West Virginia,Missouri,59,10,277,142
2010,2,3,East,3,64,New Mexico,Washington,82,11,167,264
2010,2,3,East,4,69,Wisconsin,Cornell,87,12,275,172
2010,2,4,South,1,68,Duke,California,53,8,150,25
2010,2,4,South,2,68,Villanova,St Marys,75,10,222,116
2010,2,4,South,3,76,Baylor,Old Dominion,68,11,239,295
2010,2,4,South,4,63,Purdue,Texas A&M,61,5,2509,245
2010,3,1,Midwest,9,52,Northern Iowa,Michigan St,59,5,2460,127
2010,3,1,Midwest,2,73,Ohio St,Tennessee,76,6,194,2633
2010,3,2,West,1,59,Syracuse,Butler,63,5,183,2086
2010,3,2,West,2,101,Kansas St,Xavier,96,6,2306,2752
2010,3,3,East,1,62,Kentucky,Cornell,45,12,96,172
2010,3,3,East,2,69,West Virginia,Washington,56,11,277,264
2010,3,4,South,1,70,Duke,Purdue,57,4,150,2509
2010,3,4,South,10,49,St Marys,Baylor,72,3,116,239
2010,4,1,Midwest,5,70,Michigan St,Tennessee,69,6,127,2633
2010,4,2,West,5,63,Butler,Kansas St,56,2,2086,2306
2010,4,3,East,1,66,Kentucky,West Virginia,73,2,96,277
