T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1BPI,T1SOS,T1SOR,T1REC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2BPI,T2SOS,T2SOR,T2REC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF
2250,1,0,Gonzaga Bulldogs,87.8,41.5,18.2,6.7,5.9,11.8,52.7,73.0,37.9,26,3,1,80,7,0.897,8,4,0,Arkansas Razorbacks,76.9,38.2,14.1,7.7,4.2,12.6,44.0,75.3,30.7,25,8,20,47,16,0.758,-3,-19,33,-9
2641,3,0,Texas Tech Red Raiders,71.7,36.5,13.6,8.2,3.5,13.9,47.0,69.9,31.4,25,9,13,13,12,0.735,150,2,0,Duke Blue Devils,80.2,38.3,16.9,6.5,5.5,10.2,48.9,72.9,36.8,28,6,11,56,11,0.824,1,2,-43,1
239,1,0,Baylor Bears,76.5,37.1,15.8,8.8,3.4,12.5,46.4,69.8,34.6,26,6,6,11,4,0.812,26,4,0,UCLA Bruins,76.4,37.1,14.0,7.0,3.3,9.2,45.0,73.6,35.1,25,7,8,55,15,0.781,-3,-2,-44,-11
2509,3,0,Purdue Boilermakers,79.8,38.6,16.6,4.6,3.5,11.7,49.3,70.3,39.1,27,7,10,25,9,0.794,96,2,0,Kentucky Wildcats,79.5,40.3,16.1,6.8,4.2,11.6,48.4,73.0,34.9,26,7,4,17,5,0.788,1,6,8,4
12,1,0,Arizona Wildcats,84.6,41.4,19.9,6.7,5.7,13.2,49.6,73.8,35.4,31,3,3,73,2,0.912,248,5,0,Houston Cougars,75.8,39.2,16.7,8.2,5.2,11.3,46.9,66.9,34.1,29,5,2,87,14,0.853,-4,1,-14,-12
2633,3,0,Tennessee Volunteers,73.2,37.2,16.1,9.3,4.4,12.4,43.0,71.2,35.9,26,7,5,2,3,0.788,222,2,0,Villanova Wildcats,72.6,34.9,12.1,6.2,2.3,10.0,43.7,82.3,35.9,26,7,7,19,8,0.788,1,-2,-17,-5
2305,1,0,Kansas Jayhawks,78.6,37.4,15.4,6.4,4.1,12.5,48.1,72.4,35.5,28,6,9,10,1,0.824,2507,4,0,Providence Friars,71.8,37.5,13.2,5.0,3.8,11.7,43.7,72.6,34.3,25,5,41,62,13,0.833,-3,-32,-52,-12
275,3,0,Wisconsin Badgers,70.7,34.9,11.1,5.3,2.8,8.5,42.5,74.2,31.2,24,7,27,14,10,0.774,2,2,0,Auburn Tigers,78.7,39.9,14.6,8.8,7.9,12.1,44.0,73.3,32.0,27,5,12,34,6,0.844,1,15,-20,4
